segment,value,n,wape,mase,bias,interval_coverage
store_id,623,572,0.3806593916879498,1.268323892660914,-0.09693522173206408,0.8741258741258742
store_id,2277,645,0.3448697927657958,1.4647930848877984,-0.036677499683450805,0.862015503875969
store_id,2279,523,0.4158562938951918,1.244821773772084,-0.06388438681793625,0.8891013384321224
store_id,2281,699,0.3534781387510533,1.4887538702680934,-0.1112723527759573,0.8626609442060086
store_id,2495,559,0.40613596431950266,1.1585993603657083,0.0006757669955399379,0.8783542039355993
store_id,2505,501,0.4163849671902963,1.099132686640832,-0.06442632730165043,0.9021956087824351
store_id,2513,616,0.3853958893417743,1.1847679220133218,0.06608273350099732,0.9431818181818182
store_id,2523,398,0.47273793238225525,1.0927452105794808,0.009575923392612859,0.8668341708542714
store_id,2541,448,0.49678501537601344,1.085903982137786,0.021526418786692758,0.8883928571428571
store_id,4245,577,0.4134310797357227,1.3167245896990858,-0.06335414969680514,0.8873483535528596
store_id,4259,500,0.46396683673469385,1.2086065062799083,-0.07089710884353742,0.862
store_id,4489,579,0.41350839198700595,1.19989994559535,0.06077422847861397,0.8963730569948186
store_id,4503,607,0.38828389034923017,1.1805447661350175,0.06947052196770559,0.9110378912685337
store_id,4521,479,0.5713147410358566,1.016441788268114,0.20637450199203186,0.9039665970772442
store_id,6179,569,0.4014952908049325,1.2793174863498182,-0.10554422759491212,0.859402460456942
store_id,6187,561,0.4121043864519711,1.2886297125067958,-0.023209328151027206,0.8698752228163993
store_id,6379,625,0.3519583675705286,1.2088347668320898,-0.014516570802519857,0.8752
store_id,6431,467,0.42618964918374436,1.1752897119178625,0.018409169850642584,0.8843683083511777
store_id,8035,296,0.5487234807623157,1.2214459138651315,-0.035239122617763394,0.8344594594594594
store_id,8041,652,0.4071264367816092,1.3211748794083749,-0.006666666666666667,0.8788343558282209
store_id,8263,566,0.42228016804287993,1.1678410157679124,0.08967115746776763,0.8798586572438163
store_id,9825,640,0.3670126718792127,1.332500986967914,-0.06356160690212996,0.8625
